Subject,date,Session Distance (mi),Session Active Time (min),Session Load,Session Top Speed (ft/s),Session Peak Accel (m/s/s),Session Peak Decel (m/s/s),Sprints Count,Sprints Max TopSpeed (ft/s),Sprints Avg TopSpeed (ft/s),Sprints Distance (yrd),Sprints Volume,Explosiveness Count,Explosiveness Mean Accel (m/s/s),SpeedZones (Duration) 2m/s (min),SpeedZones (Duration) 3m/s (min),SpeedZones (Duration) 4m/s (min),SpeedZones (Duration) 5m/s (min),SpeedZones (Duration) 6m/s (min),SpeedZones (Duration) 7m/s (min),SpeedZones (Duration) 8m/s (min),SpeedZones (Duration) 9m/s (min),SpeedZones (Distance) 2m/s (mi),SpeedZones (Distance) 3m/s (mi),SpeedZones (Distance) 4m/s (mi),SpeedZones (Distance) 5m/s (mi),SpeedZones (Distance) 6m/s (mi),SpeedZones (Distance) 7m/s (mi),SpeedZones (Distance) 8m/s (mi),SpeedZones (Distance) 9m/s (mi),SpeedBands (Duration) Band1 (min),SpeedBands (Duration) Band2 (min),SpeedBands (Duration) Band3 (min),SpeedBands (Duration) Band4 (min),SpeedBands (Duration) Band5 (min),SpeedBands (Distance) Band1 (mi),SpeedBands (Distance) Band2 (mi),SpeedBands (Distance) Band3 (mi),SpeedBands (Distance) Band4 (mi),SpeedBands (Distance) Band5 (mi),SpeedBands Personal (Duration) Personal Band (Duration) (min),SpeedBands Personal (Distance) Personal Band (Distance) (mi),Accel/Decel Zones Decel -1m/s/s,Accel/Decel Zones Decel -2m/s/s,Accel/Decel Zones Decel -3m/s/s,Accel/Decel Zones Decel -4m/s/s,Accel/Decel Zones Decel -5m/s/s,Accel/Decel Zones Accel 1m/s/s,Accel/Decel Zones Accel 2m/s/s,Accel/Decel Zones Accel 3m/s/s,Accel/Decel Zones Accel 4m/s/s,Accel/Decel Zones Accel 5m/s/s
1,2022-10-29,0.02,0.0,0.0,1.39,0.51,0.4,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,2023-01-18,0.09,1.28,0.0,7.45,2.94,3.05,0,0.0,0.0,0,0.0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,12,1,1,0,0,14,3,0,0,0
1,2023-01-20,0.02,0.14,0.0,9.05,1.73,3.43,0,0.0,0.0,0,0.0,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,3,0,0,0,0
1,2023-01-23,2.74,24.94,118.2,20.57,4.5,3.58,14,20.57,18.76,777,715.9,13,3.6,8.94,3.76,1.94,1.6,0.02,0.0,0.0,0.0,0.83,0.46,0.33,0.32,0.0,0.0,0.0,0.0,17.33,5.7,1.62,0.0,0.0,1.24,0.79,0.32,0.0,0.0,1.6,0.323,99,21,6,0,0,94,26,18,9,0
1,2023-01-25,3.29,32.31,122.4,19.98,4.31,4.02,7,19.98,18.3,640,592.2,7,3.4,9.99,4.3,2.76,1.3,0.01,0.0,0.0,0.0,0.9,0.53,0.46,0.25,0.0,0.0,0.0,0.0,23.79,7.06,1.31,0.0,0.0,1.57,0.99,0.25,0.0,0.0,1.3,0.254,161,79,12,1,0,150,81,39,2,0
1,2023-01-27,1.59,15.64,37.6,18.07,3.97,4.06,3,18.07,17.55,41,38.5,3,2.5,3.95,2.88,1.05,0.1,0.0,0.0,0.0,0.0,0.36,0.36,0.17,0.02,0.0,0.0,0.0,0.0,11.59,3.92,0.1,0.0,0.0,0.72,0.53,0.02,0.0,0.0,0.1,0.019,96,32,8,1,0,99,37,14,0,0
1,2023-01-30,2.79,28.01,79.0,22.14,4.22,4.7,4,22.14,18.9,97,94.9,4,2.0,8.39,6.86,1.69,0.22,0.04,0.0,0.0,0.0,0.71,0.87,0.27,0.04,0.01,0.0,0.0,0.0,19.14,8.56,0.26,0.0,0.0,1.1,1.14,0.05,0.0,0.0,0.3,0.052,113,37,9,3,0,108,50,12,2,0
1,2023-02-01,2.0,19.96,36.8,20.53,4.16,3.76,3,20.53,18.93,57,52.6,3,3.5,6.82,3.64,0.45,0.11,0.02,0.0,0.0,0.0,0.64,0.44,0.08,0.02,0.0,0.0,0.0,0.0,15.65,4.09,0.13,0.0,0.0,1.06,0.52,0.02,0.0,0.0,0.1,0.024,73,11,4,0,0,59,28,16,2,0
1,2023-02-06,3.76,33.09,201.9,20.78,4.47,4.5,32,20.78,18.66,1331,1236.0,30,3.2,9.17,6.83,3.44,2.42,0.21,0.0,0.0,0.0,0.85,0.85,0.58,0.48,0.05,0.0,0.0,0.0,20.13,10.27,2.63,0.0,0.0,1.39,1.43,0.53,0.0,0.0,2.6,0.53,125,49,17,3,0,79,87,38,6,0
1,2023-02-08,2.77,26.3,95.0,21.91,4.83,5.85,15,21.91,19.31,438,408.1,15,3.7,7.77,4.73,1.58,0.73,0.17,0.0,0.0,0.0,0.71,0.59,0.26,0.15,0.04,0.0,0.0,0.0,18.95,6.31,0.9,0.0,0.0,1.25,0.85,0.19,0.0,0.0,0.9,0.186,158,59,10,5,1,111,96,29,7,0
